id_partido,fecha,equipo_local,equipo_visitante,local_pct_anota_1inn_local,local_pct_anota_1inn_ult15,visit_pct_anota_1inn_visit,visit_pct_anota_1inn_ult15,pitcher_local_pct_permite_carrera_suavizado,pitcher_visit_pct_permite_carrera_suavizado,game_yrfi_target,home_yrfi_target,away_yrfi_target
778454,2025-04-05,Texas Rangers,Tampa Bay Rays,0.25,0.2857,0.0,0.3333,0.2745,0.2745,0,0,0
778453,2025-04-05,Milwaukee Brewers,Cincinnati Reds,0.25,0.2857,0.0,0.2857,0.2902,0.272,0,0,0
778447,2025-04-05,Los Angeles Angels,Cleveland Guardians,0.0,0.3333,0.1667,0.1667,0.2696,0.2696,1,1,1
778445,2025-04-05,Detroit Tigers,Chicago White Sox,1.0,0.5714,0.0,0.2857,0.338,0.338,1,1,1
778440,2025-04-05,Minnesota Twins,Houston Astros,1.0,0.4286,0.0,0.0,0.2812,0.2812,1,0,1
778450,2025-04-05,Chicago Cubs,San Diego Padres,0.3333,0.3,0.0,0.375,0.2829,0.2829,0,0,0
778452,2025-04-05,Washington Nationals,Arizona Diamondbacks,0.25,0.1429,0.5,0.375,0.2804,0.2804,1,1,0
778448,2025-04-05,Philadelphia Phillies,Los Angeles Dodgers,0.25,0.1429,0.0,0.2222,0.282,0.3243,1,1,0
778449,2025-04-05,Pittsburgh Pirates,New York Yankees,0.0,0.125,0.0,0.5714,0.2836,0.3461,0,0,0
778441,2025-04-05,Kansas City Royals,Baltimore Orioles,0.25,0.2857,0.6,0.625,0.2812,0.3438,0,0,0
778438,2025-04-05,Texas Rangers,Tampa Bay Rays,0.2,0.25,0.0,0.2857,0.2789,0.2789,1,1,0
778446,2025-04-05,New York Mets,Toronto Blue Jays,1.0,0.2857,0.0,0.375,0.2805,0.343,0,0,0
778439,2025-04-05,Milwaukee Brewers,Cincinnati Reds,0.2,0.25,0.0,0.25,0.3407,0.2782,1,0,1
778451,2025-04-05,Atlanta Braves,Miami Marlins,0.0,0.25,0.0,0.25,0.3422,0.2797,1,0,1
778442,2025-04-06,Colorado Rockies,Athletics,1.0,0.1429,0.2,0.25,0.2812,0.2812,0,0,0
778436,2025-04-06,San Francisco Giants,Seattle Mariners,1.0,0.2857,1.0,0.125,0.279,0.279,0,0,0
778437,2025-04-06,Los Angeles Angels,Cleveland Guardians,1.0,0.4286,0.2857,0.2857,0.3393,0.2768,1,1,1
778429,2025-04-06,Washington Nationals,Arizona Diamondbacks,0.4,0.25,0.4,0.3333,0.282,0.282,1,1,1
778443,2025-04-06,Boston Red Sox,St. Louis Cardinals,1.0,0.25,0.0,0.4286,0.3496,0.3496,0,0,0
778432,2025-04-06,Boston Red Sox,St. Louis Cardinals,0.5,0.2222,0.0,0.375,0.3038,0.2849,1,1,1
778434,2025-04-06,Philadelphia Phillies,Los Angeles Dodgers,0.4,0.25,0.0,0.2,0.2898,0.2898,1,0,1
778428,2025-04-06,Pittsburgh Pirates,New York Yankees,0.0,0.1111,0.0,0.5,0.2912,0.2912,1,0,1
778435,2025-04-06,New York Mets,Toronto Blue Jays,0.5,0.25,0.0,0.3333,0.355,0.2925,0,0,0
778433,2025-04-06,Detroit Tigers,Chicago White Sox,1.0,0.625,0.5,0.375,0.2903,0.2903,1,0,1
778422,2025-04-06,Kansas City Royals,Baltimore Orioles,0.2,0.25,0.5,0.5556,0.2917,0.2917,1,1,0
778419,2025-04-06,Minnesota Twins,Houston Astros,0.5,0.375,0.5,0.125,0.3555,0.293,1,1,1
778421,2025-04-06,Milwaukee Brewers,Cincinnati Reds,0.1667,0.2222,0.3333,0.3333,0.2977,0.3602,0,0,0
778430,2025-04-06,Chicago Cubs,San Diego Padres,0.25,0.2727,0.0,0.3333,0.2955,0.358,1,1,1
778420,2025-04-06,Texas Rangers,Tampa Bay Rays,0.3333,0.3333,0.0,0.25,0.3626,0.3001,0,0,0
778423,2025-04-06,Colorado Rockies,Athletics,0.5,0.125,0.1667,0.2222,0.3179,0.3605,1,1,1
778427,2025-04-06,San Francisco Giants,Seattle Mariners,0.5,0.25,0.5,0.1111,0.3025,0.3025,1,0,1
778425,2025-04-06,Los Angeles Angels,Cleveland Guardians,1.0,0.5,0.375,0.375,0.3662,0.3037,1,0,1
778424,2025-04-07,Detroit Tigers,New York Yankees,0.6667,0.5556,0.3333,0.5556,0.3049,0.3457,0,0,0
778415,2025-04-07,Pittsburgh Pirates,St. Louis Cardinals,0.0,0.1,0.3333,0.4444,0.3027,0.3027,1,1,0
778418,2025-04-07,Washington Nationals,Los Angeles Dodgers,0.5,0.3333,0.2,0.2727,0.3448,0.3039,0,0,0
778426,2025-04-07,Boston Red Sox,Toronto Blue Jays,0.6667,0.3,0.0,0.3,0.3018,0.3429,0,0,0
778416,2025-04-07,New York Mets,Miami Marlins,0.3333,0.2222,0.5,0.3333,0.3622,0.3622,0,0,0
778411,2025-04-07,Chicago Cubs,Texas Rangers,0.4,0.3333,0.3333,0.3,0.3758,0.2802,0,0,0
