id_partido,fecha,equipo_local,equipo_visitante,ratio_local_pct_anota_1inn_local,local_pct_anota_1inn_local,ratio_local_pct_anota_1inn_ult15,local_pct_anota_1inn_ult15,ratio_visit_pct_anota_1inn_visit,visit_pct_anota_1inn_visit,ratio_visit_pct_anota_1inn_ult15,visit_pct_anota_1inn_ult15,ratio_pitcher_local_pct_permite_carrera,pitcher_local_pct_permite_carrera,pitcher_local_pct_permite_carrera_suavizado,ratio_pitcher_visit_pct_permite_carrera,pitcher_visit_pct_permite_carrera,pitcher_visit_pct_permite_carrera_suavizado,home_yrfi_target,away_yrfi_target,game_yrfi_target
778504,2025-03-31,158,118,0/0,0.3220338983050847,1/3,0.3333333333333333,0/0,0.15254237288135594,0/3,0.0,0/0,0.23728813559322035,0.23728813559322035,0/0,0.23728813559322035,0.23728813559322035,0,1,1
778506,2025-03-31,145,142,1/3,0.3333333333333333,1/3,0.3333333333333333,1/3,0.3333333333333333,1/3,0.3333333333333333,0/0,0.24166666666666667,0.24166666666666667,0/0,0.24166666666666667,0.24166666666666667,1,0,1
778511,2025-03-31,113,140,1/3,0.3333333333333333,1/3,0.3333333333333333,0/0,0.16393442622950818,1/4,0.25,0/0,0.2459016393442623,0.2459016393442623,0/0,0.2459016393442623,0.2459016393442623,1,0,1
778492,2025-04-01,147,109,3/3,1.0,3/3,1.0,0/0,0.16129032258064516,1/4,0.25,0/0,0.25,0.25,0/0,0.25,0.25,0,0,0
778495,2025-04-01,138,108,3/4,0.75,3/4,0.75,1/4,0.25,1/4,0.25,0/0,0.24603174603174602,0.24603174603174602,0/0,0.24603174603174602,0.24603174603174602,0,0,0
778488,2025-04-01,158,118,0/1,0.0,1/4,0.25,1/1,1.0,1/4,0.25,0/0,0.2421875,0.2421875,0/0,0.2421875,0.2421875,0,0,0
778490,2025-04-01,145,142,2/4,0.5,2/4,0.5,1/4,0.25,1/4,0.25,0/0,0.23846153846153847,0.23846153846153847,0/0,0.23846153846153847,0.23846153846153847,0,0,0
778491,2025-04-01,141,120,2/5,0.4,2/5,0.4,0/1,0.0,0/4,0.0,1/1,1.0,0.2712842712842713,0/0,0.23484848484848486,0.23484848484848486,0,0,0
778493,2025-04-01,139,134,1/4,0.25,1/4,0.25,1/5,0.2,1/5,0.2,0/0,0.23134328358208955,0.23134328358208955,0/0,0.23134328358208955,0.23134328358208955,1,0,1
778500,2025-04-01,119,144,1/3,0.3333333333333333,1/5,0.2,1/4,0.25,1/4,0.25,0/0,0.23529411764705882,0.23529411764705882,0/0,0.23529411764705882,0.23529411764705882,1,0,1
