fecha,id_partido,equipo_local,equipo_visitante,prob_yrfi_predicha,prob_local_anota,prob_visitante_anota,game_yrfi_real,home_yrfi_target,away_yrfi_target,prediction,prediccion_local,prediccion_visitante
2025-05-05,778049,144,113,0.23842329,0.12235123,0.13225342,0,0,0,0,0,0
2025-05-06,778037,111,140,0.34354323,0.16651534,0.21239491,1,0,1,0,0,0
2025-05-06,778035,146,119,0.89181316,0.761989,0.5454544,1,0,1,1,1,0
2025-05-06,778046,120,114,0.584442,0.12625426,0.52439487,0,0,0,1,0,0
2025-05-06,778040,139,143,0.5009594,0.28758234,0.29951113,0,0,0,0,0,0
2025-05-06,778026,120,114,0.50801975,0.31680763,0.27988034,1,1,1,0,0,0
2025-05-06,778039,109,121,0.75634986,0.0839983,0.7340069,1,1,0,1,0,1
2025-05-06,778038,133,136,0.97955376,0.84145486,0.87103844,1,1,0,1,1,1
2025-05-06,778030,138,134,0.76756763,0.31861222,0.65888387,0,0,0,1,0,1
2025-05-06,778027,112,137,0.60261905,0.42353368,0.31066066,0,0,0,1,0,0
2025-05-06,778034,144,113,0.7713476,0.4862049,0.55497354,0,0,0,1,0,1
2025-05-06,778031,158,117,0.63394094,0.23516634,0.5213874,1,1,0,1,0,0
2025-05-06,778041,147,135,0.62369704,0.36922565,0.403427,0,0,0,1,0,0
2025-05-06,778033,118,145,0.7315284,0.65924305,0.2121318,0,0,0,1,1,0
2025-05-06,778028,142,110,0.7521112,0.23907274,0.67422795,0,0,0,1,0,1
2025-05-07,778024,133,136,0.82155055,0.56823856,0.58669436,1,1,1,1,1,1
2025-05-07,778015,158,117,0.52915347,0.17821224,0.42704603,0,0,0,0,0,0
2025-05-07,778021,139,143,0.5925759,0.34777865,0.37532842,0,0,0,1,0,0
2025-05-07,778025,108,141,0.9205725,0.8812571,0.33109704,1,1,1,1,1,0
2025-05-07,778020,112,137,0.5097846,0.08700438,0.46306926,1,0,1,0,0,0
2025-05-07,778016,138,134,0.9159117,0.42905173,0.85272163,0,0,0,1,0,1
2025-05-07,778023,144,113,0.6610906,0.28442192,0.52638376,1,0,1,1,0,0
2025-05-07,778022,120,114,0.96623385,0.94950414,0.33130804,0,0,0,1,1,0
2025-05-07,778014,109,121,0.85479534,0.8024082,0.26512805,0,0,0,1,1,0
2025-05-07,778010,133,136,0.56999207,0.27028966,0.4107142,1,1,0,1,0,0
2025-05-07,778012,118,145,0.58037925,0.1562745,0.50265723,0,0,0,1,0,0
2025-05-07,778011,142,110,0.5083335,0.40059128,0.17974754,0,0,0,0,0,0
2025-05-07,778032,109,121,0.9340976,0.8416911,0.58370996,0,0,0,1,1,1
2025-05-07,778018,111,140,0.4026513,0.14501244,0.3013364,0,0,0,0,0,0
2025-05-07,778017,146,119,0.5849494,0.2863525,0.4184094,0,0,0,1,0,0
2025-05-07,778019,147,135,0.6096915,0.19164014,0.51716,0,0,0,1,0,0
2025-05-08,778013,115,116,0.48137355,0.28980422,0.2697416,1,1,0,0,0,0
2025-05-08,778009,108,141,0.8055129,0.6208986,0.48697862,0,0,0,1,1,0
2025-05-08,778007,142,110,0.7543745,0.19971533,0.6930773,1,1,0,1,0,1
2025-05-08,778006,111,140,0.51952314,0.25593448,0.3542546,0,0,0,0,0,0
2025-05-08,778008,118,145,0.6653702,0.44474322,0.3973423,1,1,0,1,0,0
2025-05-08,778004,115,116,0.9473947,0.88219196,0.5534661,1,0,1,1,1,1
2025-05-08,778029,115,116,0.78992826,0.66579396,0.3714304,0,0,0,1,1,0
2025-05-08,778005,139,143,0.6260284,0.20038395,0.5323111,1,1,1,1,0,0
2025-05-08,778003,144,113,0.87159,0.8275252,0.25548565,1,1,0,1,1,0
2025-05-09,777996,116,140,0.85305655,0.7904999,0.29859963,0,0,0,1,1,0
2025-05-09,777999,109,119,0.6245917,0.46765968,0.29479638,0,0,0,1,0,0
2025-05-09,777998,134,144,0.8223714,0.2862268,0.7511414,0,0,0,1,0,1
2025-05-09,778000,108,141,0.71454287,0.43308103,0.49647626,1,1,0,1,0,0
2025-05-09,777995,120,138,0.63931006,0.2712927,0.5050277,1,0,1,1,0,0
2025-05-09,778002,139,158,0.6595073,0.4222164,0.41069162,1,0,1,1,0,0
2025-05-09,778001,121,112,0.80429065,0.28445116,0.7264906,1,1,0,1,0,1
2025-05-09,777991,145,146,0.46174604,0.24859543,0.28366962,1,0,1,0,0,0
2025-05-09,777997,114,143,0.49921155,0.21741644,0.36008307,0,0,0,0,0,0
2025-05-09,777990,118,111,0.56079257,0.18856268,0.45872903,0,0,0,1,0,0
2025-05-10,777989,117,113,0.6334071,0.13450289,0.5764366,0,0,0,1,0,1
2025-05-10,777992,142,137,0.6744796,0.5321592,0.30420694,1,1,0,1,0,0
2025-05-10,777993,115,135,0.8142611,0.500698,0.62800294,1,0,1,1,0,1
2025-05-10,777986,108,110,0.47097802,0.21692586,0.32442927,1,0,1,0,0,0
2025-05-10,777988,109,119,0.6936872,0.30578172,0.5587659,1,1,1,1,0,1
2025-05-10,777984,136,141,0.7810191,0.7257963,0.20139323,1,0,1,1,1,0
2025-05-10,777994,133,147,0.74336845,0.547483,0.43287972,0,0,0,1,0,0
2025-05-10,777980,120,138,0.50747615,0.025793646,0.49443582,0,0,0,0,0,0
2025-05-10,777985,134,144,0.79218304,0.35096967,0.67980397,0,0,0,1,0,1
2025-05-10,777972,133,147,0.64838684,0.38586423,0.4274666,0,0,0,1,0,0
2025-05-10,777981,139,158,0.3427437,0.16583014,0.21208334,0,0,0,0,0,0
2025-05-10,777987,116,140,0.8738686,0.85769325,0.113664955,1,1,1,1,1,0
2025-05-10,777983,114,143,0.92523104,0.8049486,0.6166705,0,0,0,1,1,1
2025-05-10,777979,117,113,0.7621903,0.5829191,0.42982355,1,1,1,1,1,0
2025-05-10,777977,118,111,0.8626279,0.6868986,0.5612537,0,0,0,1,1,1
2025-05-10,777978,145,146,0.63861835,0.35592318,0.43891525,1,1,0,1,0,0
2025-05-10,777982,121,112,0.5590611,0.43318373,0.22207792,1,0,1,1,0,0
2025-05-10,777974,142,137,0.6263972,0.41856298,0.35744914,0,0,0,1,0,0
2025-05-11,777962,120,138,0.50197124,0.09404127,0.4502743,1,0,1,0,0,0
2025-05-11,777969,116,140,0.82812786,0.66772914,0.4827349,0,0,0,1,1,0
2025-05-11,777963,117,113,0.26441294,0.094846204,0.1873347,0,0,0,0,0,0
2025-05-11,777971,114,143,0.7479648,0.5610646,0.4258034,0,0,0,1,1,0
2025-05-11,777973,108,110,0.66119456,0.27911404,0.5300153,1,1,0,1,0,0
2025-05-11,777976,115,135,0.7147482,0.6619604,0.15615857,1,0,1,1,1,0
2025-05-11,777975,109,119,0.42266476,0.3268442,0.14234528,0,0,0,0,0,0
2025-05-11,777964,139,158,0.7030858,0.2462298,0.60609454,1,1,0,1,0,1
2025-05-11,777970,136,141,0.6270061,0.5125569,0.23479502,0,0,0,1,0,0
2025-05-11,777968,121,112,0.5076803,0.20425312,0.38131112,0,0,0,0,0,0
2025-05-11,777954,109,119,0.7963676,0.7578451,0.15908208,1,0,1,1,1,0
